Key,Phase,Day,Block,Slot,Variant,Exercise,Sets,Target_Reps,Load_Note,PAP_Exercise,PAP_Sets,PAP_Reps,Combo_Focus,Cue
P2-D1-CLR-4,2,1,COOLDOWN,4,STANDARD,QL Side Bend,2,45s each,Same as P1,,,,,Same cue
P2-D3-MOB-1-STD,2,3,MOBILITY,1,STANDARD,Thoracic Rotation with Band,2,10 each side,Same as P1,,,,,Same cue
P2-D3-MOB-2-STD,2,3,MOBILITY,2,STANDARD,World's Greatest Stretch,1,6 each side,One extra rep per side,,,,,"Phase 2: hold the rotation at end range 2s"
P2-D3-MOB-3-STD,2,3,MOBILITY,3,STANDARD,Active Hip Flexor Reach,2,45s each,Same as P1,,,,,Same cue
P2-D3-STR-1,2,3,STRENGTH,1,STANDARD,Incline Barbell Press,4,4 reps,80% 1RM — heavier than P1,Explosive Push-up,4,6,,"Phase 2: more PAP volume — 6 explosive push-ups"
P2-D3-STR-2,2,3,STRENGTH,2,STANDARD,Weighted Dip,3,5 reps,+20-25kg Phase 2,Clap Push-up,3,6,,"Heavier dip weight this phase"
P2-D3-STR-3,2,3,STRENGTH,3,STANDARD,Landmine Press (Rotational),3,8 reps each,Same load — add speed intent,,,,,,"Phase 2: press with MAXIMUM intent velocity — same weight, faster"
P2-D3-BAG-1,2,3,BAG,1,STANDARD,Bag Work — 5-Strike Combinations,6,3 min rounds,60s rest,,,,"R1-2: 5-punch combos | R3: Overhand + combo | R4: Kickboxing entry | R5: Movement + combo | R6: Power round","Phase 2: complexity increases. 5-strike combos build multi-hit KO sequences."
P2-D3-CLR-1,2,3,COOLDOWN,1,STANDARD,Doorway Chest Stretch,2,60s,Same as P1,,,,,Same cue
P2-D3-CLR-2,2,3,COOLDOWN,2,STANDARD,Shoulder Cross-Body Rear Delt,2,45s each,Same as P1,,,,,Same cue
P2-D3-CLR-3,2,3,COOLDOWN,3,STANDARD,Thread-the-Needle T-Spine,2,45s each,Same as P1,,,,,Same cue
P2-D3-CLR-4,2,3,COOLDOWN,4,STANDARD,Doorway Hip Flexor Lunge,2,45s each,RIGHT priority,,,,,Same cue
P2-D5-MOB-1-STD,2,5,MOBILITY,1,STANDARD,Cossack Squat + Pause,2,6 each side,2s pause at bottom — loaded stretch,,,,,,"Phase 2: PAUSE in the bottom — increases adductor load"
P2-D5-MOB-2-STD,2,5,MOBILITY,2,STANDARD,Band Hip Abduction Standing,2,20 reps,Higher volume,,,,,Same cue
P2-D5-MOB-3-STD,2,5,MOBILITY,3,STANDARD,Lateral Lunge Adductor,2,8 each side,Deeper than Phase 1,,,,,,"Phase 2: deepen the lunge — reach further into adductor stretch"
P2-D5-MOB-4-STD,2,5,MOBILITY,4,STANDARD,Hip Flexion + External Rotation,2,45s each,Same as P1 — RIGHT priority,,,,,Same cue
P2-D5-MOB-5-STD,2,5,MOBILITY,5,STANDARD,Supine Hip CARs,2,6 each direction,One extra rep per direction,,,,,Same cue
P2-D5-MOB-1-HA,2,5,MOBILITY,1,HIGH_ALERT,Hip CARs (Slow),2,5 each direction,Same as P1 HIGH_ALERT,,,,,Same cue
P2-D5-MOB-2-HA,2,5,MOBILITY,2,HIGH_ALERT,90/90 Stretch (Both positions),3,90s each side,RIGHT side non-negotiable,,,,,Same as P1
P2-D5-MOB-3-HA,2,5,MOBILITY,3,HIGH_ALERT,Adductor PAILs-RAILs,2,45s each,Same as P1,,,,,Same cue
P2-D5-MOB-4-HA,2,5,MOBILITY,4,HIGH_ALERT,Prone Hip Extension + Hold,2,60s each,Hold at top 5s,,,,,Same as P1 HIGH_ALERT
P2-D5-MOB-5-HA,2,5,MOBILITY,5,HIGH_ALERT,Lying Hip IR + Traction,2,60s each,Same as P1,,,,,Same cue
P2-D5-STR-1,2,5,STRENGTH,1,STANDARD,Bulgarian Split Squat,4,5 reps each,Add load this phase — +5 to 10kg,Single-Leg Box Jump,4,3,,"Phase 2: add weight — drive through the glute not the quad"
P2-D5-STR-2,2,5,STRENGTH,2,STANDARD,Single-Leg RDL + Pause,3,8 each,2s pause at bottom — hamstring load,,,,,,"PAUSE at end range — increases stretch under tension"
P2-D5-STR-3,2,5,STRENGTH,3,STANDARD,Copenhagen Plank,3,25s each,Longer hold than P1,,,,,,"Phase 2: +5s. Your kick is getting stronger."
P2-D5-STR-4,2,5,STRENGTH,4,STANDARD,Single-Leg Hip Thrust + Pause,3,10 each,2s pause at top,,,,,,"Same as P1 — PAUSE at top to maximise psoas release"
P2-D5-BAG-1,2,5,BAG,1,STANDARD,Bag Work — Full Roundhouse Integration,6,3 min rounds,60s rest,,,,"R1-2: Jab-Cross + High Kick setup | R3: Body kick | R4: Switch kick | R5: 3-punch + kick combo | R6: All-out sparring pace","Phase 2: kicks are now primary weapons. Set them up correctly."
P2-D5-CLR-1,2,5,COOLDOWN,1,STANDARD,Pigeon Pose EXTENDED,3,90s each side,Same non-negotiable,,,,,Same cue — never skip this
P2-D5-CLR-2,2,5,COOLDOWN,2,STANDARD,Prone Hip Extension,2,60s each,Same as P1,,,,,Same cue
P2-D5-CLR-3,2,5,COOLDOWN,3,STANDARD,Child's Pose + Hip Shift,2,60s each,Same as P1,,,,,Same cue
P2-D5-CLR-4,2,5,COOLDOWN,4,STANDARD,Side-Lying Hip Abduction Hold,2,45s each,Same as P1,,,,,Same cue
P2-D5-CLR-5,2,5,COOLDOWN,5,STANDARD,Supine Spinal Twist,2,60s each,Same as P1,,,,,Same cue
P2-D6-MOB-1-STD,2,6,MOBILITY,1,STANDARD,Band Pull-Apart,2,15 reps,Same as P1,,,,,Same cue
P2-D6-MOB-2-STD,2,6,MOBILITY,2,STANDARD,Scapular Wall Slides,2,10 reps,Same as P1,,,,,Same cue
P2-D6-MOB-3-STD,2,6,MOBILITY,3,STANDARD,T-Spine Extension over Foam Roller,2,10 reps,Same as P1,,,,,Same cue
P2-D6-STR-1,2,6,STRENGTH,1,STANDARD,Weighted Pull-up,4,3-4 reps,+25kg Phase 2 — heavier than P1,Explosive Pull-up (BW),4,6,,"Phase 2: heavier. More PAP volume."
P2-D6-STR-2,2,6,STRENGTH,2,STANDARD,Chest-Supported Row,3,6 reps,Heavier than P1 — 3s eccentric,,,,,,"Increase the load — control is non-negotiable"
P2-D6-STR-3,2,6,STRENGTH,3,STANDARD,Landmine Row + Rotation,3,8 each,Same as P1 — add load 5kg,,,,,Same cue
P2-D6-STR-4,2,6,STRENGTH,4,STANDARD,Cable High-to-Low Woodchop,3,10 each,Same as P1 — add load,,,,,Same cue
P2-D6-BAG-1,2,6,BAG,1,STANDARD,Bag Work — Defence + Counter (Advanced),5,3 min rounds,60s rest,,,,"R1: Double-slip + Counter | R2: Duck + Uppercut | R3: Parry-Parry-Cross | R4: Clinch + Elbow Exit | R5: Freestyle defensive round","Phase 2: defence combinations are chained — no single slips."
P2-D6-CLR-1,2,6,COOLDOWN,1,STANDARD,Lat/Serratus Band Stretch,2,45s each,Same as P1,,,,,Same cue
P2-D6-CLR-2,2,6,COOLDOWN,2,STANDARD,Overhead Tricep Stretch,2,45s each,Same as P1,,,,,Same cue
P2-D6-CLR-3,2,6,COOLDOWN,3,STANDARD,Doorway Hip Flexor,2,45s each,RIGHT priority,,,,,Same cue
P2-D6-CLR-4,2,6,COOLDOWN,4,STANDARD,Wrist + Forearm Flexor,2,30s each,Same as P1,,,,,Same cue
P3-D1-MOB-1-STD,3,1,MOBILITY,1,STANDARD,90/90 Hip IR/ER (Competition Prep),, 2x45s each side,Quick but thorough — pre-competition pattern,,,,,,"Phase 3: efficient — you know this mobility. Own it."
P3-D1-MOB-2-STD,3,1,MOBILITY,2,STANDARD,Supine Figure-4,, 2x45s,Right priority,,,,,Same cue
P3-D1-MOB-3-STD,3,1,MOBILITY,3,STANDARD,Half-Kneeling Hip Flexor + Band Resist,,2x45s each,Same as P2,,,,,Same cue
P3-D1-MOB-1-HA,3,1,MOBILITY,1,HIGH_ALERT,Hip CARs (Slow),2,5 each,Joint priority — same as P1/P2,,,,,Same cue
P3-D1-MOB-2-HA,3,1,MOBILITY,2,HIGH_ALERT,90/90 Stretch,3,90s each side,RIGHT non-negotiable,,,,,Same cue
P3-D1-MOB-3-HA,3,1,MOBILITY,3,HIGH_ALERT,Adductor PAILs-RAILs,2,45s,Same,,,,,Same cue
P3-D1-STR-1,3,1,STRENGTH,1,STANDARD,Barbell Back Squat,4,2-3 reps,90% 1RM — Peak Phase,Box Jump,4,5,,"Phase 3: peak strength. Fewer reps — maximum load. PAP volume increases."
P3-D1-STR-2,3,1,STRENGTH,2,STANDARD,Trap Bar Deadlift,3,4 reps,Heavy — controlled,Depth Jump,3,4,,"Phase 3 PAP: Depth Jump — highest reactive demand"
P3-D1-STR-3,3,1,STRENGTH,3,STANDARD,Barbell Hip Thrust,3,6 reps,Heavy — 3s pause,,,,,,"PEAK strength in the glute = PEAK hip extension velocity in kicks"
P3-D1-BAG-1,3,1,BAG,1,STANDARD,Bag Work — Fight Pace,8,3 min rounds,60s rest,,,,"Fight pace: R1-4 Technical combos | R5-6 Pressure rounds | R7 Counter round | R8 Finish strong","Phase 3: 8 rounds — competition standard. Every round has a purpose."
P3-D1-CLR-1,3,1,COOLDOWN,1,STANDARD,Pigeon Pose,3,90s each,Non-negotiable forever,,,,,,"Phase 3 athletes skip cooldowns. You won't. This is why your hip will heal."
P3-D1-CLR-2,3,1,COOLDOWN,2,STANDARD,Couch Stretch,2,60s each,RIGHT priority,,,,,Same cue
P3-D1-CLR-3,3,1,COOLDOWN,3,STANDARD,Butterfly Adductor,2,60s,Same as P1/P2,,,,,Same cue
P3-D1-CLR-4,3,1,COOLDOWN,4,STANDARD,QL Side Bend,2,45s each,Same,,,,,Same cue
P3-D3-MOB-1-STD,3,3,MOBILITY,1,STANDARD,Thoracic Rotation,2,10 each,Same as P1/P2,,,,,Same cue
P3-D3-MOB-2-STD,3,3,MOBILITY,2,STANDARD,World's Greatest Stretch,1,6 each,Same as P2,,,,,Same cue
P3-D3-MOB-3-STD,3,3,MOBILITY,3,STANDARD,Active Hip Flexor Reach,2,45s each,Same,,,,,Same cue
P3-D3-STR-1,3,3,STRENGTH,1,STANDARD,Incline Barbell Press,4,3 reps,85-90% 1RM — peak strength,Explosive Push-up,4,6,,"Phase 3: heaviest loads — lightest body. Power endurance."
P3-D3-STR-2,3,3,STRENGTH,2,STANDARD,Weighted Dip,3,4 reps,+25-30kg Phase 3,Clap Push-up,3,6,,"Heavy dip — explosive plyometric PAP"
P3-D3-STR-3,3,3,STRENGTH,3,STANDARD,Landmine Press (Maximum Velocity),3,6 each,Lighter load — MAXIMUM speed intent,,,,,"Phase 3: prioritise VELOCITY over load. Strike speed training."
P3-D3-BAG-1,3,3,BAG,1,STANDARD,Bag Work — Competition Combinations,8,3 min rounds,60s rest,,,,"R1-2: 5-strike openers | R3-4: Entry + exit combos | R5: Kick-punch-kick | R6: Pressure + clinch | R7: Counter specialist | R8: KO round","Phase 3: 8 rounds. Every round ends with a KO-intent finish."
P3-D3-CLR-1,3,3,COOLDOWN,1,STANDARD,Doorway Chest Stretch,2,60s,Same,,,,,Same cue
P3-D3-CLR-2,3,3,COOLDOWN,2,STANDARD,Shoulder Cross Body,2,45s each,Same,,,,,Same cue
P3-D3-CLR-3,3,3,COOLDOWN,3,STANDARD,Thread the Needle,2,45s each,Same,,,,,Same cue
P3-D3-CLR-4,3,3,COOLDOWN,4,STANDARD,Doorway Hip Flexor,2,45s each,RIGHT priority,,,,,Same cue
P3-D5-MOB-1-STD,3,5,MOBILITY,1,STANDARD,Cossack Squat + Pause,2,6 each,Same as P2,,,,,Same cue
P3-D5-MOB-2-STD,3,5,MOBILITY,2,STANDARD,Band Hip Abduction,2,20 reps,Same as P2,,,,,Same cue
P3-D5-MOB-3-STD,3,5,MOBILITY,3,STANDARD,Lateral Lunge Adductor,2,8 each,Same as P2,,,,,Same cue
P3-D5-MOB-4-STD,3,5,MOBILITY,4,STANDARD,Hip Flexion + External Rotation,2,45s each,RIGHT priority,,,,,Same cue
P3-D5-MOB-5-STD,3,5,MOBILITY,5,STANDARD,Supine Hip CARs,2,6 each direction,Same as P2,,,,,Same cue
P3-D5-MOB-1-HA,3,5,MOBILITY,1,HIGH_ALERT,Hip CARs (Slow),2,5 each,Same,,,,,Same cue
P3-D5-MOB-2-HA,3,5,MOBILITY,2,HIGH_ALERT,90/90 Stretch,3,90s each side,RIGHT non-negotiable,,,,,Same cue
P3-D5-MOB-3-HA,3,5,MOBILITY,3,HIGH_ALERT,Adductor PAILs-RAILs,2,45s,Same,,,,,Same cue
P3-D5-STR-1,3,5,STRENGTH,1,STANDARD,Bulgarian Split Squat,4,4 reps each,Peak load — +15 to 20kg,Single-Leg Box Jump,4,4,,"Phase 3: heaviest split squat. This is your kick power on the scale."
P3-D5-STR-2,3,5,STRENGTH,2,STANDARD,Single-Leg RDL,3,6 each,Heavy — controlled,,,,,,"Phase 3: heavier unilateral load. Balance and strength."
P3-D5-STR-3,3,5,STRENGTH,3,STANDARD,Copenhagen Plank,3,30s each,Longest hold — Phase 3,,,,,,"30 seconds of adductor strength = a kick that doesn't collapse"
P3-D5-STR-4,3,5,STRENGTH,4,STANDARD,Single-Leg Hip Thrust,3,8 each,Heavy + 2s pause at top,,,,,,"Heaviest phase — psoas reciprocal inhibition at peak"
P3-D5-BAG-1,3,5,BAG,1,STANDARD,Bag Work — Head Kick Masterclass,8,3 min rounds,60s rest,,,,"R1-2: Setup only (no full kick) | R3-4: Full head kick from orthodox | R5: Switch foot head kick | R6: 3-punch + head kick | R7: Defence + head kick counter | R8: Full fight — use everything","Phase 3 pinnacle. Head kicks come from the hip. Not the leg."
P3-D5-CLR-1,3,5,COOLDOWN,1,STANDARD,Pigeon Pose EXTENDED,3,90s each,Never skip this,,,,,Non-negotiable forever
P3-D5-CLR-2,3,5,COOLDOWN,2,STANDARD,Prone Hip Extension,2,60s each,Same,,,,,Same cue
P3-D5-CLR-3,3,5,COOLDOWN,3,STANDARD,Child's Pose + Hip Shift,2,60s each,Same,,,,,Same cue
P3-D5-CLR-4,3,5,COOLDOWN,4,STANDARD,Side-Lying Hip Abduction Hold,2,45s each,Same,,,,,Same cue
P3-D5-CLR-5,3,5,COOLDOWN,5,STANDARD,Supine Spinal Twist,2,60s each,Same,,,,,Same cue
P3-D6-MOB-1-STD,3,6,MOBILITY,1,STANDARD,Band Pull-Apart,2,15 reps,Same,,,,,Same cue
P3-D6-MOB-2-STD,3,6,MOBILITY,2,STANDARD,Scapular Wall Slides,2,10 reps,Same,,,,,Same cue
P3-D6-MOB-3-STD,3,6,MOBILITY,3,STANDARD,T-Spine Extension over Foam Roller,2,10 reps,Same,,,,,Same cue
P3-D6-STR-1,3,6,STRENGTH,1,STANDARD,Weighted Pull-up,4,3 reps,+30kg Phase 3 — near max,Explosive Pull-up (BW),4,6,,"Phase 3 peak. Rest enough between. Quality over speed."
P3-D6-STR-2,3,6,STRENGTH,2,STANDARD,Chest-Supported Row,3,5 reps,Heavy,,,,,,"Phase 3: heaviest row. Pulling strength for clinch."
P3-D6-STR-3,3,6,STRENGTH,3,STANDARD,Landmine Row + Rotation,3,8 each,+5kg vs P2,,,,,Same cue
P3-D6-STR-4,3,6,STRENGTH,4,STANDARD,Cable High-to-Low Woodchop,3,10 each,Max controllable load,,,,,Same cue
P3-D6-BAG-1,3,6,BAG,1,STANDARD,Bag Work — Full Fight Simulation,8,3 min rounds,60s rest,,,,"Championship rounds: every round is a different opponent archetype. R1 vs Boxer. R2 vs Kicker. R3 vs Wrestler. R4 vs Pressure fighter. R5-8: Full flow.","Phase 3 finale. You've built the power. Now you fight."
P3-D6-CLR-1,3,6,COOLDOWN,1,STANDARD,Lat/Serratus Band Stretch,2,45s each,Same,,,,,Same cue
P3-D6-CLR-2,3,6,COOLDOWN,2,STANDARD,Overhead Tricep Stretch,2,45s each,Same,,,,,Same cue
P3-D6-CLR-3,3,6,COOLDOWN,3,STANDARD,Doorway Hip Flexor,2,45s each,RIGHT priority,,,,,Same cue
P3-D6-CLR-4,3,6,COOLDOWN,4,STANDARD,Wrist + Forearm Flexor,2,30s each,Same,,,,,Same cue
